gene,metric,imaging,r_res,p_res,n,n_carriers_img,CGC,in_pathway,fdr_full,fdr_per_gene,fdr_per_gene_metric,fdr_best_per_gene,cohort
UBR4,mean_abs_dll,kits_tumor_necrotic_frac,0.0204961569816678,0.7957273736227426,162,6,False,False,0.9282449112158968,0.9499237182337632,0.9676630304755366,,KIRC
UBR4,max_abs_dll,kits_tumor_necrotic_frac,0.0204961569816678,0.7957273736227426,162,6,False,False,0.9282449112158968,0.9499237182337632,0.9676630304755366,,KIRC
UBR4,sum_abs_dll,kits_tumor_necrotic_frac,0.0204961569816678,0.7957273736227426,162,6,False,False,0.9282449112158968,0.9499237182337632,0.9676630304755366,,KIRC
SPEN,sum_abs_dll,kits_tumor_heterogeneity,-0.0204028198089603,0.7966373405064536,162,5,True,False,0.9288484025487238,0.8468237010768496,0.7966373405064536,,KIRC
SPEN,mean_abs_dll,kits_tumor_heterogeneity,-0.0201289754030562,0.7993086930661712,162,5,True,False,0.9288484025487238,0.8468237010768496,0.7993086930661712,,KIRC
ABCA13,min_dll,kits_tumor_heterogeneity,-0.0200513674114983,0.8000661838822993,162,8,False,False,0.9288484025487238,0.914361353008342,0.8000661838822993,,KIRC
ABCA13,top1_signed,kits_tumor_heterogeneity,-0.0200513674114983,0.8000661838822993,162,8,False,False,0.9288484025487238,0.914361353008342,0.8000661838822993,,KIRC
NAV3,max_abs_dll,kits_tumor_necrotic_frac,0.0200496727653286,0.8000827265142578,162,7,False,False,0.9288484025487238,0.8353787146101721,0.8000827265142578,,KIRC
NAV3,sum_abs_dll,kits_tumor_necrotic_frac,0.0200496727653286,0.8000827265142578,162,7,False,False,0.9288484025487238,0.8353787146101721,0.8000827265142578,,KIRC
NAV3,top1_signed,kits_tumor_necrotic_frac,-0.0200496727653286,0.8000827265142578,162,7,False,False,0.9288484025487238,0.8353787146101721,0.8000827265142578,,KIRC
NAV3,min_dll,kits_tumor_necrotic_frac,-0.0200496727653286,0.8000827265142578,162,7,False,False,0.9288484025487238,0.8353787146101721,0.8000827265142578,,KIRC
COL6A6,max_dll,tumor_kidney_ratio,0.0199896533954148,0.800668674997091,162,7,False,False,0.9288484025487238,0.8303230703673536,0.800668674997091,,KIRC
COL6A6,top1_signed,tumor_kidney_ratio,0.0199896533954148,0.800668674997091,162,7,False,False,0.9288484025487238,0.8303230703673536,0.800668674997091,,KIRC
COL6A6,max_abs_dll,tumor_kidney_ratio,-0.0199896533954148,0.800668674997091,162,7,False,False,0.9288484025487238,0.8303230703673536,0.800668674997091,,KIRC
COL6A6,mean_abs_dll,tumor_kidney_ratio,-0.0199896533954148,0.800668674997091,162,7,False,False,0.9288484025487238,0.8303230703673536,0.800668674997091,,KIRC
COL6A6,min_dll,tumor_kidney_ratio,0.0199896533954148,0.800668674997091,162,7,False,False,0.9288484025487238,0.8303230703673536,0.800668674997091,,KIRC
COL6A6,sum_abs_dll,tumor_kidney_ratio,-0.0199896533954148,0.800668674997091,162,7,False,False,0.9288484025487238,0.8303230703673536,0.800668674997091,,KIRC
TTN,max_abs_dll,kits_tumor_volume_ml,0.0199645428302452,0.8009138538062555,162,33,False,False,0.9288484025487238,0.8985683161888444,0.8009138538062555,,KIRC
SPEN,min_dll,kits_tumor_heterogeneity,0.0198494847207417,0.8020375258733163,162,5,True,False,0.9290683141327548,0.8468237010768496,0.8020375258733163,,KIRC
SPEN,top1_signed,kits_tumor_heterogeneity,0.0198494847207417,0.8020375258733163,162,5,True,False,0.9290683141327548,0.8468237010768496,0.8020375258733163,,KIRC
SPEN,max_abs_dll,kits_tumor_heterogeneity,-0.0198494847207417,0.8020375258733163,162,5,True,False,0.9290683141327548,0.8468237010768496,0.8020375258733163,,KIRC
TPR,max_dll,kits_tumor_necrotic_frac,0.0196255855340167,0.8042253145957697,162,5,True,False,0.9305189370894832,0.9454862786044812,0.8042253145957697,,KIRC
TPR,top1_signed,kits_tumor_necrotic_frac,0.0196255855340167,0.8042253145957697,162,5,True,False,0.9305189370894832,0.9454862786044812,0.8042253145957697,,KIRC
TPR,min_dll,kits_tumor_necrotic_frac,0.0196255855340167,0.8042253145957697,162,5,True,False,0.9305189370894832,0.9454862786044812,0.8042253145957697,,KIRC
MACF1,mean_abs_dll,kits_tumor_necrotic_frac,-0.0194576728670971,0.805867039906916,162,7,False,False,0.9313351073130276,0.8397345058477642,0.8397345058477642,,KIRC
